fname,lname,phone,email,password,course
Ming,Thaxton,30401001900,mthaxton@gmail.com,,B.COM
Gracia,Pecot,20808103883,gpecot@hotmail.com,,B.COM
Yuette,Metevelis,80470008894,yuette.metevelis@metevelis.net.au,,B.COM
Yuriko,Kazarian,80110905346,yuriko_kazarian@gmail.com,,BBA
Hyman,Hegeman,80928009177,hyman@hotmail.com,,BBA
Linette,Summerfield,70748907577,linette.summerfield@hotmail.com,,BBA
Jospeh,Couzens,30845107537,jospeh.couzens@couzens.com.au,,BBA
Anna,Ovit,20464905341,anna.ovit@hotmail.com,,BBA
Shawnta,Woodhams,20577008546,shawnta@woodhams.com.au,,BBA
Ettie,Luckenbach,80937807021,ettie@yahoo.com,,BBA
Chara,Leveston,30257408915,cleveston@gmail.com,,BBA
Lauran,Huntsberger,80270403706,lhuntsberger@huntsberger.net.au,,BBA
Pansy,Todesco,30323304255,pansy_todesco@gmail.com,,BBA
Georgeanna,Silverstone,30741606750,georgeanna@silverstone.net.au,,BBA
Jesus,Liversedge,20441805927,jesus.liversedge@hotmail.com,,BBA
Jamey,Tetter,70607305039,jamey.tetter@gmail.com,,BBA
Alberta,Motter,30124808221,alberta_motter@hotmail.com,,BBA
Ronald,Grube,80330505436,ronald.grube@yahoo.com,,BBA
Tamala,Hickie,30369502399,tamala_hickie@yahoo.com,,BBA
Gerry,Mohrmann,80139902471,gerry_mohrmann@mohrmann.net.au,,BBA
Isaiah,Kueter,30372506290,ikueter@kueter.com.au,,BBA
Magnolia,Overbough,20794702980,moverbough@overbough.com.au,,BBA
Ngoc,Guglielmina,80226405559,ngoc_guglielmina@hotmail.com,,BBA
Julene,Lauretta,30103609594,julene.lauretta@gmail.com,,BBA
Magda,Lindbeck,20371303646,magda_lindbeck@yahoo.com,,BBA
Shantell,Lizama,70534605917,shantell.lizama@gmail.com,,BBA
Audria,Piccinich,80975702379,audria.piccinich@gmail.com,,BBA
Nickole,Derenzis,20557306627,nderenzis@hotmail.com,,BBA
Grover,Reynolds,80778503040,grover.reynolds@gmail.com,,BBA
Rocco,Bergstrom,80398707521,rocco@yahoo.com,,BBA
Ethan,Quintero,80828009492,ethan_quintero@quintero.com.au,,BBA
Glynda,Sanzenbacher,30105107865,glynda@sanzenbacher.com.au,,BBA
Yolande,Scrimsher,80213602433,yolande@yahoo.com,,BBA
Twanna,Sieber,70523507319,twanna@yahoo.com,,BBA
Rosenda,Petteway,30959904122,rosenda@gmail.com,,BBA
Lacey,Francis,70411903981,lacey.francis@francis.net.au,,BBA
Cordie,Meikle,20872704906,cordie.meikle@hotmail.com,,BBA
Annalee,Graleski,20611808773,annalee.graleski@hotmail.com,,BBA
Dana,Ladeau,70351109233,dana@ladeau.net.au,,BBA
Wai,Raddle,30481103832,wai.raddle@raddle.com.au,,BBA
Johana,Conquest,80657907569,johana@conquest.net.au,,BBA
Tomas,Fults,70153604805,tomas_fults@fults.net.au,,BBA
Karon,Etzler,30669808416,karon@hotmail.com,,BBA
Delbert,Houben,30156006800,delbert.houben@hotmail.com,,BBA
Ashleigh,Rimmer,30535409557,ashleigh.rimmer@hotmail.com,,BBA
Nenita,Mckenna,20505902649,nmckenna@yahoo.com,,BBA
Micah,Shear,80627006829,mshear@hotmail.com,,BBA
Stefany,Figueras,80220908647,stefany@figueras.net.au,,BBA
Rene,Burnsworth,80822203171,rene@burnsworth.net.au,,BBA
Cary,Orazine,80771808495,cary.orazine@hotmail.com,,BBA
Micheal,Ocken,20982804921,micheal.ocken@ocken.net.au,,BBA
Frederick,Tamburello,30480007102,frederick.tamburello@hotmail.com,,BBA
Burma,Noa,30643804586,burma.noa@gmail.com,,BBA
Cherry,Roh,80517503585,cherry_roh@yahoo.com,,BBA
Gabriele,Frabotta,30268906049,gabriele_frabotta@gmail.com,,BBA
Clement,Chee,30277504083,clement@hotmail.com,,BBA
Beckie,Apodace,20563003114,bapodace@gmail.com,,BBA
Catrice,Fowlkes,70903205149,cfowlkes@hotmail.com,,BBA
Richelle,Remillard,80683106370,richelle.remillard@remillard.net.au,,BBA
Cherri,Miccio,70562607937,cherri_miccio@gmail.com,,BBA
Dorethea,Taketa,70220902731,dtaketa@taketa.net.au,,BBA
Barb,Latina,80850607259,blatina@hotmail.com,,BBA
Bettye,Meray,30942402956,bmeray@yahoo.com,,BBA
Sherrell,Sprowl,20407404461,sherrell_sprowl@hotmail.com,,B.COM
Ruth,Niglio,70512808956,ruth.niglio@hotmail.com,,B.COM
Alva,Shoulders,80832904211,alva@gmail.com,,B.COM
Carri,Palaspas,80606901579,carri_palaspas@palaspas.net.au,,B.COM
Onita,Milbrandt,20115703829,onita.milbrandt@milbrandt.com.au,,B.COM
Jessenia,Sarp,80887805994,jsarp@hotmail.com,,B.COM
Tricia,Peressini,80432601560,tperessini@yahoo.com,,B.COM
Stephaine,Manin,70203106566,stephaine_manin@yahoo.com,,B.COM
Florinda,Gudgel,20250108301,fgudgel@gudgel.com.au,,B.COM
Marsha,Farnham,20540208024,marsha@farnham.com.au,,B.COM
Josefa,Oakland,70540406221,josefa_oakland@oakland.com.au,,B.COM
Deeann,Nicklous,70638205073,deeann_nicklous@gmail.com,,B.COM
Jeannetta,Vonstaden,20822209319,jvonstaden@gmail.com,,B.COM
Desmond,Amuso,20170608506,desmond@hotmail.com,,B.COM
Trina,Bakey,70592201983,tbakey@bakey.com.au,,B.COM
Ramonita,Picotte,20436008467,ramonita_picotte@yahoo.com,,B.COM
Temeka,Bodine,20258107479,temeka.bodine@gmail.com,,B.COM
Bea,Iida,70698409278,bea_iida@iida.net.au,,B.COM
Soledad,Mockus,20129108182,soledad_mockus@yahoo.com,,B.COM
Margurite,Okon,30972107313,margurite.okon@hotmail.com,,B.COM
Artie,Saine,30345702524,artie_saine@yahoo.com,,B.COM
Major,Studwell,70137706898,major@gmail.com,,B.COM
Veronika,Buchauer,20420205191,veronika.buchauer@buchauer.net.au,,B.COM
Christene,Cisney,30363002467,christene@hotmail.com,,B.COM
Miles,Feldner,70856105894,miles@hotmail.com,,B.COM
Julio,Mikel,20699509902,julio.mikel@mikel.net.au,,B.COM
Aide,Ghera,20373807508,aide.ghera@ghera.com.au,,B.COM
Noelia,Brackett,80377303770,noelia@brackett.net.au,,B.COM
Lenora,Delacruz,20786205151,lenora@delacruz.net.au,,B.COM
